Title,Note,URL,Comment
Dropped pin,,"https://www.google.com/maps/search/37.1799517,-3.602837",
Dropped pin,,"https://www.google.com/maps/search/37.1745585,-3.5958334",
Dropped pin,,"https://www.google.com/maps/search/37.1757398,-3.5947334",
Dropped pin,,"https://www.google.com/maps/search/37.173379,-3.5906467",
Dropped pin,,"https://www.google.com/maps/search/37.1732892,-3.5926637",
Dropped pin,,"https://www.google.com/maps/search/37.1733622,-3.5909039",
Dropped pin,,"https://www.google.com/maps/search/37.1789668,-3.6017065",
Dropped pin,New,"https://www.google.com/maps/search/37.1766125,-3.5962566",
Dropped pin,,"https://www.google.com/maps/search/37.1771575,-3.5949493",
Dropped pin,New,"https://www.google.com/maps/search/37.1834953,-3.6019029",
Dropped pin,New,"https://www.google.com/maps/search/37.1836786,-3.6035029",
Dropped pin,,"https://www.google.com/maps/search/37.17892,-3.594196",
Dropped pin,New,"https://www.google.com/maps/search/37.1786697,-3.5943512",
Dropped pin,Fountain,"https://www.google.com/maps/search/37.178093,-3.5961573",
,New,"https://www.google.com/maps/search/37.1788511,-3.5961704",
Dropped pin,,"https://www.google.com/maps/search/37.179547,-3.5941899",
Dropped pin,,"https://www.google.com/maps/search/37.1795732,-3.5915127",
Dropped pin,,"https://www.google.com/maps/search/37.1786086,-3.5940736",
Dropped pin,,"https://www.google.com/maps/search/37.1766603,-3.5995902",
Dropped pin,,"https://www.google.com/maps/search/37.1785196,-3.592426",
